country,currency,direction,channel,n_obs,status,best_degree,r2,avg_margin,recommended_margin,base_gp_eur,optimal_gp_eur,gp_uplift_abs,gp_uplift_pct,bootstrap_mean_margin,bootstrap_std_margin
AU,AUD,BUY,Airport,1095,ok,3,0.02118185708436393,0.10799656892996738,0.1308487123509678,326209.28834617545,335.3423035910431,-325873.94604258443,-0.9989720025898369,0.12545386999476457,0.00863021061748594
AU,AUD,BUY,High Street,1095,ok,3,0.050184903726324004,0.0982140216093933,0.0955257936638512,222840.33952772012,204.58624085554743,-222635.75328686458,-0.999081915593518,0.09802846475603141,0.016538954553533207
AU,AUD,SELL,Airport,1095,ok,3,0.030049548602548715,0.08804259592691732,0.09193437267253562,262113.05131268795,244.64305423804356,-261868.4082584499,-0.9990666506188347,0.0975226300943444,0.008648901097057833
AU,AUD,SELL,High Street,1095,ok,3,0.05762285909055842,0.0778654879022761,0.09246165829816205,175165.74574401954,166.989866773863,-174998.75587724568,-0.999046675101547,0.0844261747964147,0.016688287472199373
AU,EUR,BUY,Airport,1095,ok,3,0.021250136815767928,0.11012004620478853,0.12503067915518154,263742.4553842597,251.6741505602739,-263490.7812336994,-0.999045757914881,0.11216484093717771,0.019698212686055955
AU,EUR,BUY,High Street,1095,ok,3,0.04615100982513276,0.09953347677792394,0.0771239588289515,181148.3370074993,172.81511735037404,-180975.52189014893,-0.9990460021869082,0.09592571293385921,0.019334482338195735
AU,EUR,SELL,Airport,1095,ok,3,0.010765907213059811,0.09011609837539401,0.110695654318747,214511.16092410684,236.53265796335486,-214274.62826614347,-0.9988973410197195,0.10877139530608894,0.003377551992578948
AU,EUR,SELL,High Street,1095,ok,3,0.06690332023153267,0.08026851437709094,0.08357394494680496,144433.00737413735,132.20929730509076,-144300.79807683226,-0.9990846323862619,0.08460420813513124,0.016953936442326956
AU,GBP,BUY,Airport,1095,ok,3,0.020563609029507046,0.11304086088185909,0.1337038709106293,203128.4222330608,200.6135866879609,-202927.80864637284,-0.9990123805202514,0.12616126255903543,0.012472564663239448
AU,GBP,BUY,High Street,1095,ok,3,0.06411589421022779,0.10247909042673989,0.09750436445912833,138385.65929440822,129.83802208206586,-138255.82127232617,-0.9990617667846216,0.1036200648142113,0.012800386344699096
AU,GBP,SELL,Airport,1095,ok,3,0.014490029703357332,0.09336143207494443,0.1148990255557775,167090.462382288,174.74060012028747,-166915.72178216773,-0.9989542155929853,0.1124082300009071,0.004201539022522674
AU,GBP,SELL,High Street,1095,ok,3,0.04416940075952824,0.08301574280215622,0.06,111787.86618851004,109.10293779379171,-111678.76325071625,-0.9990240180664169,0.08004616943416337,0.019799968253099848
